Color,Thick,Strain,Gray,G_Predict
3,48,82,4.25,-1.47688
4,48,70,5,-1.92162
4,48,66,5,-1.9126
4,48,68,5.25,-1.91159
4,48,70,5.25,-1.91121
4,48,66,5.25,-1.90267
4,48,68,5.5,-1.88431
4,48,68,4.75,-1.8818
4,48,66,4.75,-1.87178
4,48,80,5,-1.72329
4,48,74,4.25,-1.72187
4,48,78,4.5,-1.68314
4,48,76,4.25,-1.68263
4,48,78,4,-1.57199
4,48,80,4.25,-1.55687
4,48,82,4.5,-1.5278
4,48,84,4.75,-1.49396
4,30,218,5,-1.35017
4,30,216,5,-1.34479
4,30,214,5,-1.33909
6,48,64,6,-1.65489
6,48,64,5.75,-1.61886
6,48,62,6,-1.60726
6,48,64,6.25,-1.58676
7,48,64,6.75,-1.64453
7,48,66,6.5,-1.6288
7,48,64,6.5,-1.61294
